property_id,property_name_text,address_line1_text,city_name_text,state_code,zip_code,latitude,longitude,property_total_unit_count,owner_contact_email_text,mgmt_contact_email_text
800000141,AMBERWOOD APARTMENTS                              ,570 SOUTH MAIN ST.,ARAB,AL,35016,34.30764509999999,-86.49694819999999,70,billw@spm.net,tskellie@spm.net
800000130,AHEPA 23-II APARTMENTS                            ,285 Sylvest Drive,MONTGOMERY,AL,36117,32.38541410000001,-86.1946815,71,ike@gulaslawfirm.com,cthomas@ahepaseniorliving.org
800000140,Parkway Place                                     ,2115 CENTRAL PARKWAY,DECATUR,AL,35601,34.5724283,-86.9862362,100,brad.mast@gmail.com,brad.mast@gmail.com
800000125,ANDALUSIA/ENTERPRISE GROUP HOME                   ,209 OAK ST,ANDALUSIA,AL,36420,31.3114182,-86.4791687,20,wdavis@voase.org,wdavis@voase.org
800000143,ANTON SQUARE APTS                                 ,3507 ANTON ST,PRICHARD,AL,36612,30.74692989999999,-88.1251125,48,owner@fairstead.com,terrie.griffin@fairstead.com
800000126,"Community Options, Inc.                           ",8400 Division Ave,BIRMINGHAM,AL,35206,33.572904,-86.719151,18,b.greene@arcofcentralalabama.org,dallas.vice@arcofcentralalabama.org
800000144,ARROWOOD APARTMENTS                               ,260-1 County Road 82,BOLIGEE,AL,35443,32.7564298,-88.0353509,64,DavidM@morrowrealty.com,davidm@morrowrealty.com
800000061,Shawnee Renaissance Apartments                    ,105 E CALDWELL,Louisville,KY,40204,38.2400136,-85.7539871,177,Bridgettej@ndhc.org,bridgettej@ndhc.org
800000145,ASHLAND HEIGHTS APARTMENTS                        ,10 ASHLAND HEIGHTS DRIVE,ASHLAND,AL,36251,33.271926,-85.831704,40,jgodin@knology.net,AHA@centurytel.net
800000146,ASHVILLE SEC 8 HOUSING                            ,100 Laurel Ln,Ashville,AL,35953,33.8371141,-86.25002260000001,20,affordablehsg@windstream.net,affordablehsg@windstream.net
800000133,AHEPA 310 III Apartments                          ,20765 BISHOP RD,FAIRHOPE,AL,36532,30.527702,-87.8782739,50,nickstratas@ahepanationalhousing.org,dcole@ahepaseniorliving.org
800000148,"ATMORE SENIOR HOUSING, INC.                       ",201East Ridgeley Street,ATMORE,AL,36504,31.0264236,-87.4919692,40,robrogers@voase.org,bjohnson@voase.org
800000147,ASHWOOD Apartments                                ,166 1st St SE,Hamilton,AL,35570,34.1410986,-87.98789939999999,47,jerry@worldoutreach.fund,vcallahan@mansermar.com
